Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
C,Nikola Jokic + 830650,Nikola Jokic,830650,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,10100.0
C,Joel Embiid + 794508,Joel Embiid,794508,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,9900.0
PG/SG,James Harden + 395388,James Harden,395388,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,9600.0
PG,LaMelo Ball + 1257420,LaMelo Ball,1257420,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,9200.0
PG/SG,Devin Booker + 845564,Devin Booker,845564,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,9100.0
PG/SG,Donovan Mitchell + 879707,Donovan Mitchell,879707,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,9000.0
PG,Darius Garland + 1134262,Darius Garland,1134262,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,8900.0
PG/SG,Bradley Beal + 606912,Bradley Beal,606912,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,8800.0
C,Bam Adebayo + 957486,Bam Adebayo,957486,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,8700.0
SF/PF,Jimmy Butler + 458730,Jimmy Butler,458730,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,8600.0
PG,Chris Paul + 229598,Chris Paul,229598,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,8500.0
PG,Jamal Murray + 891352,Jamal Murray,891352,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,8400.0
C,Kristaps Porzingis + 877869,Kristaps Porzingis,877869,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,8300.0
PF,Kyle Kuzma + 844476,Kyle Kuzma,844476,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,8200.0
C,Jarrett Allen + 956574,Jarrett Allen,956574,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,8100.0
SG,Terry Rozier + 786293,Terry Rozier,786293,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,8000.0
C,Deandre Ayton + 1061507,Deandre Ayton,1061507,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,7900.0
PG/SG,Tyler Herro + 1134176,Tyler Herro,1134176,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,7800.0
PF/C,Evan Mobley + 1231862,Evan Mobley,1231862,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,7700.0
SF/PF,Tobias Harris + 552523,Tobias Harris,552523,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,7600.0
PG,Kevin Porter Jr. + 1135158,Kevin Porter Jr.,1135158,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,7500.0
PG,Kyle Lowry + 266394,Kyle Lowry,266394,HOU @ MIA,2022-10-10 23:30:00+00:00,MIA,7400.0
PG,Ricky Rubio + 503689,Ricky Rubio,503689,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,7300.0
PG,Tyrese Maxey + 1186160,Tyrese Maxey,1186160,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,7200.0
SG/SF,Caris LeVert + 698991,Caris LeVert,698991,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,7100.0
SF,Gordon Hayward + 477667,Gordon Hayward,477667,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,7000.0
SG/SF,Will Barton + 551760,Will Barton,551760,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,6900.0
PF,Aaron Gordon + 748788,Aaron Gordon,748788,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,6800.0
PF/C,Kevin Love + 395374,Kevin Love,395374,PHI @ CLE,2022-10-10 23:00:00+00:00,CLE,6700.0
SG,Jalen Green + 1271706,Jalen Green,1271706,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,6600.0
SF,Mikal Bridges + 846400,Mikal Bridges,846400,PHX @ DEN,2022-10-11 01:00:00+00:00,PHX,6500.0
C,Montrezl Harrell + 698651,Montrezl Harrell,698651,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,6400.0
SF/PF,Jae'Sean Tate + 844040,Jae'Sean Tate,844040,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,6300.0
SG/SF,Kelly Oubre Jr. + 843271,Kelly Oubre Jr.,843271,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,6200.0
PG,Monte Morris + 741011,Monte Morris,741011,WAS @ CHA,2022-10-10 23:00:00+00:00,WAS,6100.0
PF,Jabari Smith II + 1342755,Jabari Smith II,1342755,HOU @ MIA,2022-10-10 23:30:00+00:00,HOU,6000.0
PG/SG,De'Anthony Melton + 946801,De'Anthony Melton,946801,PHI @ CLE,2022-10-10 23:00:00+00:00,PHI,5900.0
PF,PJ Washington + 1067857,PJ Washington,1067857,WAS @ CHA,2022-10-10 23:00:00+00:00,CHA,5800.0
SF/PF,Michael Porter Jr. + 1061724,Michael Porter Jr.,1061724,PHX @ DEN,2022-10-11 01:00:00+00:00,DEN,5700.0
