Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
PG,Damian Lillard + 463121,Damian Lillard,463121,POR @ GSW,2022-10-12 02:00:00+00:00,POR,9600.0
PG,Stephen Curry + 338365,Stephen Curry,338365,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,9300.0
C,Jusuf Nurkic + 830642,Jusuf Nurkic,830642,POR @ GSW,2022-10-12 02:00:00+00:00,POR,9100.0
PG/SG,Jordan Poole + 1067671,Jordan Poole,1067671,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,8700.0
SG/SF,Josh Hart + 741892,Josh Hart,741892,POR @ GSW,2022-10-12 02:00:00+00:00,POR,8100.0
SG,Anfernee Simons + 1121307,Anfernee Simons,1121307,POR @ GSW,2022-10-12 02:00:00+00:00,POR,7900.0
SG,Klay Thompson + 457611,Klay Thompson,457611,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,7700.0
C,Drew Eubanks + 883573,Drew Eubanks,883573,POR @ GSW,2022-10-12 02:00:00+00:00,POR,6900.0
PF/C,Trendon Watford + 1176529,Trendon Watford,1176529,POR @ GSW,2022-10-12 02:00:00+00:00,POR,6800.0
PG,Mike Conley + 329468,Mike Conley,329468,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,6500.0
PF,Jerami Grant + 699826,Jerami Grant,699826,POR @ GSW,2022-10-12 02:00:00+00:00,POR,6300.0
PG/SG,Jordan Clarkson + 551975,Jordan Clarkson,551975,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5800.0
C,Isaiah Roby + 944969,Isaiah Roby,944969,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5700.0
SF/PF,Lauri Markkanen + 949131,Lauri Markkanen,949131,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5600.0
PG/SG,Collin Sexton + 1061642,Collin Sexton,1061642,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5500.0
PF,Keldon Johnson + 1134174,Keldon Johnson,1134174,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5500.0
PF/C,Draymond Green + 468895,Draymond Green,468895,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,5400.0
PG/SG,Brandon Williams + 1134688,Brandon Williams,1134688,POR @ GSW,2022-10-12 02:00:00+00:00,POR,5400.0
C,Cody Zeller + 602028,Cody Zeller,602028,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5400.0
C,Jakob Poeltl + 844478,Jakob Poeltl,844478,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5300.0
SF,Simone Fontecchio + 1314104,Simone Fontecchio,1314104,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5300.0
C,James Wiseman + 1175120,James Wiseman,1175120,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,5200.0
PF,Stanley Johnson + 844331,Stanley Johnson,844331,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5200.0
PG,Tre Jones + 1132030,Tre Jones,1132030,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5200.0
SG/SF,Malik Beasley + 879503,Malik Beasley,879503,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5100.0
SG/SF,Devin Vassell + 1132051,Devin Vassell,1132051,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5100.0
SF,Andrew Wiggins + 794503,Andrew Wiggins,794503,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,5000.0
PF/C,Zach Collins + 955887,Zach Collins,955887,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5000.0
PG,Nickeil Alexander-Walker + 1067668,Nickeil Alexander-Walker,1067668,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5000.0
SG/SF,Talen Horton-Tucker + 1132824,Talen Horton-Tucker,1132824,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5000.0
PF,Rudy Gay + 266358,Rudy Gay,266358,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,4900.0
C,Gorgui Dieng + 553158,Gorgui Dieng,553158,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,4900.0
