Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
PF/C,Giannis Antetokounmpo + 739957,Giannis Antetokounmpo,739957,MIL @ CHI,2022-10-12 00:00:00+00:00,MIL,9900.0
PG,Damian Lillard + 463121,Damian Lillard,463121,POR @ GSW,2022-10-12 02:00:00+00:00,POR,9600.0
PG,Ja Morant + 1065906,Ja Morant,1065906,MEM @ ORL,2022-10-11 23:00:00+00:00,MEM,9500.0
PG,Shai Gilgeous-Alexander + 1067856,Shai Gilgeous-Alexander,1067856,OKC @ DET,2022-10-11 23:00:00+00:00,OKC,9400.0
PG,Stephen Curry + 338365,Stephen Curry,338365,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,9300.0
PG,Cade Cunningham + 1232182,Cade Cunningham,1232182,OKC @ DET,2022-10-11 23:00:00+00:00,DET,9200.0
C,Jusuf Nurkic + 830642,Jusuf Nurkic,830642,POR @ GSW,2022-10-12 02:00:00+00:00,POR,9100.0
SF/PF,DeMar DeRozan + 457594,DeMar DeRozan,457594,MIL @ CHI,2022-10-12 00:00:00+00:00,CHI,9000.0
PG,Jrue Holiday + 457576,Jrue Holiday,457576,MIL @ CHI,2022-10-12 00:00:00+00:00,MIL,8800.0
PG/SG,Jordan Poole + 1067671,Jordan Poole,1067671,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,8700.0
C,Nikola Vucevic + 457598,Nikola Vucevic,457598,MIL @ CHI,2022-10-12 00:00:00+00:00,CHI,8600.0
C,Wendell Carter Jr. + 1060912,Wendell Carter Jr.,1060912,MEM @ ORL,2022-10-11 23:00:00+00:00,ORL,8500.0
PG/SG,Josh Giddey + 1323503,Josh Giddey,1323503,OKC @ DET,2022-10-11 23:00:00+00:00,OKC,8400.0
SF,Khris Middleton + 512053,Khris Middleton,512053,MIL @ CHI,2022-10-12 00:00:00+00:00,MIL,8300.0
SG/SF,Josh Hart + 741892,Josh Hart,741892,POR @ GSW,2022-10-12 02:00:00+00:00,POR,8100.0
SG,Anfernee Simons + 1121307,Anfernee Simons,1121307,POR @ GSW,2022-10-12 02:00:00+00:00,POR,7900.0
SG,Klay Thompson + 457611,Klay Thompson,457611,POR @ GSW,2022-10-12 02:00:00+00:00,GSW,7700.0
SG,Zach LaVine + 743777,Zach LaVine,743777,MIL @ CHI,2022-10-12 00:00:00+00:00,CHI,7600.0
SG,Desmond Bane + 944263,Desmond Bane,944263,MEM @ ORL,2022-10-11 23:00:00+00:00,MEM,7500.0
PF/C,Mo Bamba + 1071928,Mo Bamba,1071928,MEM @ ORL,2022-10-11 23:00:00+00:00,ORL,7400.0
SF,Saddiq Bey + 1138653,Saddiq Bey,1138653,OKC @ DET,2022-10-11 23:00:00+00:00,DET,7200.0
C,Drew Eubanks + 883573,Drew Eubanks,883573,POR @ GSW,2022-10-12 02:00:00+00:00,POR,6900.0
PF/C,Trendon Watford + 1176529,Trendon Watford,1176529,POR @ GSW,2022-10-12 02:00:00+00:00,POR,6800.0
PG,Mike Conley + 329468,Mike Conley,329468,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,6500.0
PF,Jerami Grant + 699826,Jerami Grant,699826,POR @ GSW,2022-10-12 02:00:00+00:00,POR,6300.0
PF/C,Aleksej Pokusevski + 1257423,Aleksej Pokusevski,1257423,OKC @ DET,2022-10-11 23:00:00+00:00,OKC,6200.0
PG/SG,Alec Burks + 512995,Alec Burks,512995,OKC @ DET,2022-10-11 23:00:00+00:00,DET,6100.0
C,Moritz Wagner + 882387,Moritz Wagner,882387,MEM @ ORL,2022-10-11 23:00:00+00:00,ORL,6000.0
SG/SF,Jordan Nwora + 1076189,Jordan Nwora,1076189,MIL @ CHI,2022-10-12 00:00:00+00:00,MIL,5900.0
C,Andre Drummond + 614746,Andre Drummond,614746,MIL @ CHI,2022-10-12 00:00:00+00:00,CHI,5800.0
PG/SG,Jordan Clarkson + 551975,Jordan Clarkson,551975,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5800.0
PF/C,Bobby Portis + 750703,Bobby Portis,750703,MIL @ CHI,2022-10-12 00:00:00+00:00,MIL,5700.0
SG/SF,Dillon Brooks + 854601,Dillon Brooks,854601,MEM @ ORL,2022-10-11 23:00:00+00:00,MEM,5700.0
C,Isaiah Roby + 944969,Isaiah Roby,944969,SAS @ UTA,2022-10-12 01:00:00+00:00,SAS,5700.0
PG,Cole Anthony + 1185943,Cole Anthony,1185943,MEM @ ORL,2022-10-11 23:00:00+00:00,ORL,5600.0
SF/PF,Lauri Markkanen + 949131,Lauri Markkanen,949131,SAS @ UTA,2022-10-12 01:00:00+00:00,UTA,5600.0
C,Marvin Bagley III + 1076209,Marvin Bagley III,1076209,OKC @ DET,2022-10-11 23:00:00+00:00,DET,5600.0
