Position,Name + ID,Name,ID,Game,Time,TeamAbbrev,Salary
C,Joel Embiid + 794508,Joel Embiid,794508,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,9900.0
PG,Stephen Curry + 338365,Stephen Curry,338365,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,9400.0
SF/PF,LeBron James + 214152,LeBron James,214152,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,9200.0
SF/PF,Jayson Tatum + 937647,Jayson Tatum,937647,PHI @ BOS,2022-10-18 23:30:00+00:00,BOS,9000.0
PG/SG,James Harden + 395388,James Harden,395388,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,8900.0
PF/C,Anthony Davis + 603096,Anthony Davis,603096,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,8500.0
SG/SF,Jaylen Brown + 883436,Jaylen Brown,883436,PHI @ BOS,2022-10-18 23:30:00+00:00,BOS,8000.0
PG,Russell Westbrook + 329830,Russell Westbrook,329830,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,7400.0
SF,Andrew Wiggins + 794503,Andrew Wiggins,794503,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,7000.0
PG/SG,Jordan Poole + 1067671,Jordan Poole,1067671,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,6700.0
SG,Klay Thompson + 457611,Klay Thompson,457611,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,6500.0
SF/PF,Tobias Harris + 552523,Tobias Harris,552523,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,5900.0
PF/C,Draymond Green + 468895,Draymond Green,468895,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,5800.0
C,James Wiseman + 1175120,James Wiseman,1175120,LAL @ GSW,2022-10-19 02:00:00+00:00,GSW,5700.0
PG/SG,Marcus Smart + 697132,Marcus Smart,697132,PHI @ BOS,2022-10-18 23:30:00+00:00,BOS,5200.0
PG,Tyrese Maxey + 1186160,Tyrese Maxey,1186160,PHI @ BOS,2022-10-18 23:30:00+00:00,PHI,5000.0
PG/SG,Malcolm Brogdon + 601146,Malcolm Brogdon,601146,PHI @ BOS,2022-10-18 23:30:00+00:00,BOS,4900.0
PF/C,Al Horford + 280587,Al Horford,280587,PHI @ BOS,2022-10-18 23:30:00+00:00,BOS,4900.0
C,Robert Williams + 954390,Robert Williams,954390,PHI @ BOS,2022-10-18 23:30:00+00:00,BOS,4800.0
PG/SG,Dennis Schroder + 739958,Dennis Schroder,739958,LAL @ GSW,2022-10-19 02:00:00+00:00,LAL,4700.0
