points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
9,PG,23:43,3,12,25.0,1,2,50.0,2,5,40.0,0,1,1,7,2,1,1,0,15,
7,,23:49,3,8,37.5,0,0,0.0,1,4,25.0,0,1,1,3,2,2,2,1,20,
13,,26:07,5,9,55.6,0,0,0.0,3,3,100,2,1,3,4,5,1,2,1,17,
20,SG,31:43,7,12,58.3,0,0,0.0,6,9,66.7,0,2,2,4,2,1,1,0,12,
6,,30:02,3,7,42.9,0,0,0.0,0,3,0.0,0,2,2,2,3,1,1,1,22,
2,,24:25,1,6,16.7,0,0,0.0,0,2,0.0,0,3,3,3,3,0,0,0,-10,
3,,31:33,1,8,12.5,1,2,50.0,0,4,0.0,0,1,1,4,2,4,0,0,-11,
22,,32:02,9,16,56.2,1,2,50.0,3,8,37.5,0,1,1,4,0,0,2,0,-14,
5,,19:14,2,7,28.6,0,0,0.0,1,4,25.0,0,3,3,3,2,0,0,0,9,
8,,29:17,3,9,33.3,0,0,0.0,2,7,28.6,0,2,2,1,1,2,1,0,0,
6,,25:40,3,8,37.5,0,0,0.0,0,3,0.0,0,0,0,3,4,0,2,1,-2,
18,,29:36,7,15,46.7,2,4,50.0,2,7,28.6,0,4,4,2,4,0,2,1,-1,
12,,26:04,6,12,50.0,0,0,0.0,0,2,0.0,0,2,2,8,2,0,0,0,12,
19,,24:50,6,11,54.5,3,3,100,4,5,80.0,2,2,4,4,4,0,1,0,15,
2,,28:20,1,7,14.3,0,0,0.0,0,1,0.0,2,1,3,6,2,1,1,1,6,
12,,31:18,5,11,45.5,0,0,0.0,2,2,100,1,5,6,2,4,0,2,0,11,
13,,25:45,6,15,40.0,0,0,0.0,1,8,12.5,0,3,3,6,3,0,3,0,-13,
5,,20:35,2,6,33.3,0,0,0.0,1,2,50.0,0,2,2,2,0,1,0,0,-15,
7,,19:19,3,6,50.0,0,0,0.0,1,2,50.0,0,0,0,7,4,2,1,1,11,
7,,21:53,2,7,28.6,2,2,100,1,5,20.0,3,1,4,4,3,3,1,0,10,
5,,25:42,2,10,20.0,0,2,0.0,1,5,20.0,2,2,4,4,3,0,1,0,-13,
6,,16:04,2,8,25.0,1,2,50.0,1,4,25.0,1,1,2,2,0,0,1,0,-11,
4,,24:39,2,9,22.2,0,0,0.0,0,4,0.0,0,3,3,0,2,1,1,0,-4,
16,,30:08,6,11,54.5,4,6,66.7,0,1,0.0,2,0,2,3,4,0,0,0,-8,
5,,16:32,2,8,25.0,0,0,0.0,1,1,100,1,2,3,0,0,0,0,0,-20,
11,,30:37,5,12,41.7,0,0,0.0,1,5,20.0,2,2,4,6,3,1,1,1,-5,
8,,24:01,3,14,21.4,0,0,0.0,2,8,25.0,0,1,1,2,2,2,3,0,-17,
20,,28:29,7,10,70.0,3,3,100,3,4,75.0,0,3,3,2,2,2,2,0,8,
2,,27:30,1,7,14.3,0,0,0.0,0,2,0.0,0,2,2,3,3,0,1,0,-1,
18,,24:26,7,10,70.0,3,4,75.0,1,3,33.3,1,2,3,4,1,0,0,0,1,
