PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PF/C,Giannis Antetokounmpo (24725319),Giannis Antetokounmpo,24725319,PF/C/F/UTIL,9900,MIL@CHI 10/11/2022 08:00PM ET,MIL,58.78
,,,,,,,,,PG,Damian Lillard (24725323),Damian Lillard,24725323,PG/G/UTIL,9600,POR@GSW 10/11/2022 10:00PM ET,POR,42.60
,,,,,,,,,PG,Ja Morant (24725326),Ja Morant,24725326,PG/G/UTIL,9500,MEM@ORL 10/11/2022 07:00PM ET,MEM,48.52
,,,,,,,,,PG,Shai Gilgeous-Alexander (24725329),Shai Gilgeous-Alexander,24725329,PG/G/UTIL,9400,OKC@DET 10/11/2022 07:00PM ET,OKC,43.37
,,,,,,,,,PG,Stephen Curry (24725332),Stephen Curry,24725332,PG/G/UTIL,9300,POR@GSW 10/11/2022 10:00PM ET,GSW,46.15
,,,,,,,,,PG,Cade Cunningham (24725335),Cade Cunningham,24725335,PG/G/UTIL,9200,OKC@DET 10/11/2022 07:00PM ET,DET,35.84
,,,,,,,,,C,Jusuf Nurkic (24725338),Jusuf Nurkic,24725338,C/UTIL,9100,POR@GSW 10/11/2022 10:00PM ET,POR,36.15
,,,,,,,,,SF/PF,DeMar DeRozan (24725340),DeMar DeRozan,24725340,SF/PF/F/UTIL,9000,MIL@CHI 10/11/2022 08:00PM ET,CHI,43.05
,,,,,,,,,PG,Jrue Holiday (24725344),Jrue Holiday,24725344,PG/G/UTIL,8800,MIL@CHI 10/11/2022 08:00PM ET,MIL,38.41
,,,,,,,,,PG/SG,Jordan Poole (24725347),Jordan Poole,24725347,PG/SG/G/UTIL,8700,POR@GSW 10/11/2022 10:00PM ET,GSW,30.52
,,,,,,,,,C,Nikola Vucevic (24725351),Nikola Vucevic,24725351,C/UTIL,8600,MIL@CHI 10/11/2022 08:00PM ET,CHI,41.05
,,,,,,,,,C,Wendell Carter Jr. (24725353),Wendell Carter Jr.,24725353,C/UTIL,8500,MEM@ORL 10/11/2022 07:00PM ET,ORL,35.18
,,,,,,,,,PG/SG,Josh Giddey (24725355),Josh Giddey,24725355,PG/SG/G/UTIL,8400,OKC@DET 10/11/2022 07:00PM ET,OKC,34.04
,,,,,,,,,SF,Khris Middleton (24725359),Khris Middleton,24725359,SF/F/UTIL,8300,MIL@CHI 10/11/2022 08:00PM ET,MIL,37.54
,,,,,,,,,SG/SF,Josh Hart (24725362),Josh Hart,24725362,SG/SF/F/G/UTIL,8100,POR@GSW 10/11/2022 10:00PM ET,POR,32.84
,,,,,,,,,SG,Anfernee Simons (24725367),Anfernee Simons,24725367,SG/G/UTIL,7900,POR@GSW 10/11/2022 10:00PM ET,POR,28.34
,,,,,,,,,SG,Klay Thompson (24725370),Klay Thompson,24725370,SG/G/UTIL,7700,POR@GSW 10/11/2022 10:00PM ET,GSW,32.33
,,,,,,,,,SG,Zach LaVine (24725373),Zach LaVine,24725373,SG/G/UTIL,7600,MIL@CHI 10/11/2022 08:00PM ET,CHI,38.85
,,,,,,,,,SG,Desmond Bane (24725376),Desmond Bane,24725376,SG/G/UTIL,7500,MEM@ORL 10/11/2022 07:00PM ET,MEM,31.68
,,,,,,,,,PF/C,Mo Bamba (24725379),Mo Bamba,24725379,PF/C/F/UTIL,7400,MEM@ORL 10/11/2022 07:00PM ET,ORL,27.54
,,,,,,,,,SF,Saddiq Bey (24725383),Saddiq Bey,24725383,SF/F/UTIL,7200,OKC@DET 10/11/2022 07:00PM ET,DET,30.08
,,,,,,,,,C,Drew Eubanks (24725386),Drew Eubanks,24725386,C/UTIL,6900,POR@GSW 10/11/2022 10:00PM ET,POR,17.82
,,,,,,,,,PF/C,Trendon Watford (24725388),Trendon Watford,24725388,PF/C/F/UTIL,6800,POR@GSW 10/11/2022 10:00PM ET,POR,17.20
,,,,,,,,,PG,Mike Conley (24725392),Mike Conley,24725392,PG/G/UTIL,6500,SAS@UTA 10/11/2022 09:00PM ET,UTA,28.55
,,,,,,,,,PF,Jerami Grant (24725395),Jerami Grant,24725395,PF/F/UTIL,6300,POR@GSW 10/11/2022 10:00PM ET,POR,31.91
,,,,,,,,,PF/C,Aleksej Pokusevski (24725398),Aleksej Pokusevski,24725398,PF/C/F/UTIL,6200,OKC@DET 10/11/2022 07:00PM ET,OKC,19.74
,,,,,,,,,PG/SG,Alec Burks (24725402),Alec Burks,24725402,PG/SG/G/UTIL,6100,OKC@DET 10/11/2022 07:00PM ET,DET,25.39
,,,,,,,,,C,Moritz Wagner (24725406),Moritz Wagner,24725406,C/UTIL,6000,MEM@ORL 10/11/2022 07:00PM ET,ORL,16.82
,,,,,,,,,SG/SF,Jordan Nwora (24725408),Jordan Nwora,24725408,SG/SF/F/G/UTIL,5900,MIL@CHI 10/11/2022 08:00PM ET,MIL,13.74
,,,,,,,,,C,Andre Drummond (24725417),Andre Drummond,24725417,C/UTIL,5800,MIL@CHI 10/11/2022 08:00PM ET,CHI,25.15
,,,,,,,,,PG/SG,Jordan Clarkson (24725413),Jordan Clarkson,24725413,PG/SG/G/UTIL,5800,SAS@UTA 10/11/2022 09:00PM ET,UTA,26.38
,,,,,,,,,PF/C,Bobby Portis (24725426),Bobby Portis,24725426,PF/C/F/UTIL,5700,MIL@CHI 10/11/2022 08:00PM ET,MIL,30.74
,,,,,,,,,SG/SF,Dillon Brooks (24725421),Dillon Brooks,24725421,SG/SF/F/G/UTIL,5700,MEM@ORL 10/11/2022 07:00PM ET,MEM,28.10
,,,,,,,,,C,Isaiah Roby (24725419),Isaiah Roby,24725419,C/UTIL,5700,SAS@UTA 10/11/2022 09:00PM ET,SAS,21.74
,,,,,,,,,PG,Cole Anthony (24725430),Cole Anthony,24725430,PG/G/UTIL,5600,MEM@ORL 10/11/2022 07:00PM ET,ORL,33.4
,,,,,,,,,SF/PF,Lauri Markkanen (24725435),Lauri Markkanen,24725435,SF/PF/F/UTIL,5600,SAS@UTA 10/11/2022 09:00PM ET,UTA,27.26
