PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG,Damian Lillard (24726833),Damian Lillard,24726833,PG/G/UTIL,9600,POR@GSW 10/11/2022 10:00PM ET,POR,42.60
,,,,,,,,,PG,Stephen Curry (24726823),Stephen Curry,24726823,PG/G/UTIL,9300,POR@GSW 10/11/2022 10:00PM ET,GSW,46.15
,,,,,,,,,C,Jusuf Nurkic (24726873),Jusuf Nurkic,24726873,C/UTIL,9100,POR@GSW 10/11/2022 10:00PM ET,POR,36.15
,,,,,,,,,PG/SG,Jordan Poole (24726949),Jordan Poole,24726949,PG/SG/G/UTIL,8700,POR@GSW 10/11/2022 10:00PM ET,GSW,30.52
,,,,,,,,,SG/SF,Josh Hart (24726862),Josh Hart,24726862,SG/SF/F/G/UTIL,8100,POR@GSW 10/11/2022 10:00PM ET,POR,32.84
,,,,,,,,,SG,Anfernee Simons (24726956),Anfernee Simons,24726956,SG/G/UTIL,7900,POR@GSW 10/11/2022 10:00PM ET,POR,28.34
,,,,,,,,,SG,Klay Thompson (24726826),Klay Thompson,24726826,SG/G/UTIL,7700,POR@GSW 10/11/2022 10:00PM ET,GSW,32.33
,,,,,,,,,C,Drew Eubanks (24726899),Drew Eubanks,24726899,C/UTIL,6900,POR@GSW 10/11/2022 10:00PM ET,POR,17.82
,,,,,,,,,PF/C,Trendon Watford (24727007),Trendon Watford,24727007,PF/C/F/UTIL,6800,POR@GSW 10/11/2022 10:00PM ET,POR,17.20
,,,,,,,,,PG,Mike Conley (24726820),Mike Conley,24726820,PG/G/UTIL,6500,SAS@UTA 10/11/2022 09:00PM ET,UTA,28.55
,,,,,,,,,PF,Jerami Grant (24726859),Jerami Grant,24726859,PF/F/UTIL,6300,POR@GSW 10/11/2022 10:00PM ET,POR,31.91
,,,,,,,,,PG/SG,Jordan Clarkson (24726842),Jordan Clarkson,24726842,PG/SG/G/UTIL,5800,SAS@UTA 10/11/2022 09:00PM ET,UTA,26.38
,,,,,,,,,C,Isaiah Roby (24726916),Isaiah Roby,24726916,C/UTIL,5700,SAS@UTA 10/11/2022 09:00PM ET,SAS,21.74
,,,,,,,,,SF/PF,Lauri Markkanen (24726918),Lauri Markkanen,24726918,SF/PF/F/UTIL,5600,SAS@UTA 10/11/2022 09:00PM ET,UTA,27.26
,,,,,,,,,PG/SG,Collin Sexton (24726939),Collin Sexton,24726939,PG/SG/G/UTIL,5500,SAS@UTA 10/11/2022 09:00PM ET,UTA,24.14
,,,,,,,,,PF,Keldon Johnson (24726975),Keldon Johnson,24726975,PF/F/UTIL,5500,SAS@UTA 10/11/2022 09:00PM ET,SAS,30.26
,,,,,,,,,PF/C,Draymond Green (24726836),Draymond Green,24726836,PF/C/F/UTIL,5400,POR@GSW 10/11/2022 10:00PM ET,GSW,30.44
,,,,,,,,,PG/SG,Brandon Williams (24726981),Brandon Williams,24726981,PG/SG/G/UTIL,5400,POR@GSW 10/11/2022 10:00PM ET,POR,25
,,,,,,,,,C,Cody Zeller (24726852),Cody Zeller,24726852,C/UTIL,5400,SAS@UTA 10/11/2022 09:00PM ET,UTA,12.88
,,,,,,,,,C,Jakob Poeltl (24726886),Jakob Poeltl,24726886,C/UTIL,5300,SAS@UTA 10/11/2022 09:00PM ET,SAS,33.90
,,,,,,,,,SF,Simone Fontecchio (24727049),Simone Fontecchio,24727049,SF/F/UTIL,5300,SAS@UTA 10/11/2022 09:00PM ET,UTA,0
